Council,No_Of_Connections,Month,Year,Type
Limerick,5,September,2007,City
Waterford,15,September,2007,City
Cork,52,October,2007,City
Dublin,832,October,2007,City
Galway,54,October,2007,City
Limerick,44,October,2007,City
Waterford,16,October,2007,City
Cork,62,November,2007,City
Dublin,849,November,2007,City
Galway,54,November,2007,City
Limerick,46,November,2007,City
Waterford,17,November,2007,City
Cork,158,December,2007,City
Dublin,396,December,2007,City
Galway,81,December,2007,City
Limerick,5,December,2007,City
Waterford,89,December,2007,City
Cork,44,January,2008,City
Dublin,402,January,2008,City
Galway,13,January,2008,City
Limerick,59,January,2008,City
Waterford,90,January,2008,City
Cork,29,February,2008,City
Dublin,451,February,2008,City
Galway,25,February,2008,City
Limerick,31,February,2008,City
Waterford,26,February,2008,City
Cork,150,March,2008,City
Dublin,520,March,2008,City
Galway,27,March,2008,City
Limerick,70,March,2008,City
Waterford,32,March,2008,City
Cork,31,April,2008,City
Dublin,402,April,2008,City
Galway,64,April,2008,City
Limerick,96,April,2008,City
Waterford,10,April,2008,City
Cork,93,May,2008,City
Dublin,554,May,2008,City
Galway,32,May,2008,City
Limerick,29,May,2008,City
Waterford,7,May,2008,City
Cork,188,June,2008,City
Dublin,489,June,2008,City
Galway,74,June,2008,City
Limerick,21,June,2008,City
Waterford,21,June,2008,City
Cork,94,July,2008,City
Dublin,470,July,2008,City
Galway,70,July,2008,City
Limerick,7,July,2008,City
Waterford,47,July,2008,City
Cork,131,August,2008,City
Dublin,387,August,2008,City
Galway,20,August,2008,City
Limerick,0,August,2008,City
Waterford,6,August,2008,City
Cork,52,September,2008,City
Dublin,533,September,2008,City
Galway,77,September,2008,City
Limerick,8,September,2008,City
Waterford,28,September,2008,City
Cork,45,October,2008,City
Dublin,350,October,2008,City
Galway,52,October,2008,City
Limerick,19,October,2008,City
Waterford,11,October,2008,City
Cork,42,November,2008,City
Dublin,614,November,2008,City
Galway,46,November,2008,City
Limerick,14,November,2008,City
Waterford,4,November,2008,City
Cork,102,December,2008,City
Dublin,176,December,2008,City
Galway,45,December,2008,City
Limerick,11,December,2008,City
Waterford,15,December,2008,City
Cork,104,January,2009,City
Dublin,150,January,2009,City
Galway,37,January,2009,City
Limerick,13,January,2009,City
Waterford,24,January,2009,City
Cork,64,February,2009,City
Dublin,370,February,2009,City
Galway,8,February,2009,City
Limerick,10,February,2009,City
Waterford,15,February,2009,City
Cork,50,March,2009,City
Dublin,136,March,2009,City
Galway,7,March,2009,City
Limerick,15,March,2009,City
Waterford,21,March,2009,City
Cork,77,April,2009,City
Dublin,299,April,2009,City
Galway,13,April,2009,City
Limerick,15,April,2009,City
Waterford,11,April,2009,City
Cork,72,May,2009,City
Dublin,118,May,2009,City
Galway,29,May,2009,City
Limerick,3,May,2009,City
Waterford,20,May,2009,City
Cork,31,June,2009,City
Dublin,168,June,2009,City
Galway,27,June,2009,City
Limerick,4,June,2009,City
Waterford,12,June,2009,City
Cork,75,July,2009,City
Dublin,220,July,2009,City
Galway,19,July,2009,City
Limerick,3,July,2009,City
Waterford,12,July,2009,City
Cork,11,August,2009,City
Dublin,296,August,2009,City
Galway,2,August,2009,City
Limerick,0,August,2009,City
Waterford,4,August,2009,City
Cork,95,September,2009,City
Dublin,113,September,2009,City
Galway,27,September,2009,City
Limerick,11,September,2009,City
Waterford,18,September,2009,City
Cork,30,October,2009,City
Dublin,260,October,2009,City
Galway,5,October,2009,City
Limerick,1,October,2009,City
Waterford,2,October,2009,City
Cork,21,November,2009,City
Dublin,136,November,2009,City
Galway,19,November,2009,City
Limerick,6,November,2009,City
Waterford,7,November,2009,City
Cork,36,December,2009,City
Dublin,129,December,2009,City
Galway,6,December,2009,City
Limerick,12,December,2009,City
Waterford,0,December,2009,City
Cork,19,January,2010,City
Dublin,119,January,2010,City
Galway,5,January,2010,City
Limerick,2,January,2010,City
Waterford,3,January,2010,City
Cork,8,February,2010,City
Dublin,113,February,2010,City
Galway,5,February,2010,City
Limerick,3,February,2010,City
Waterford,4,February,2010,City
Cork,4,March,2010,City
Dublin,80,March,2010,City
Galway,4,March,2010,City
Limerick,2,March,2010,City
Waterford,2,March,2010,City
Cork,15,April,2010,City
Dublin,56,April,2010,City
Galway,2,April,2010,City
Limerick,2,April,2010,City
Waterford,1,April,2010,City
Cork,21,May,2010,City
Dublin,74,May,2010,City
Galway,7,May,2010,City
Limerick,2,May,2010,City
Waterford,3,May,2010,City
Cork,32,June,2010,City
Dublin,56,June,2010,City
Galway,10,June,2010,City
Limerick,7,June,2010,City
Waterford,4,June,2010,City
Cork,15,July,2010,City
Dublin,55,July,2010,City
Galway,6,July,2010,City
Limerick,10,July,2010,City
Waterford,1,July,2010,City
Cork,26,August,2010,City
Dublin,25,August,2010,City
Galway,4,August,2010,City
Limerick,1,August,2010,City
Waterford,11,August,2010,City
Cork,14,September,2010,City
Dublin,59,September,2010,City
Galway,10,September,2010,City
Limerick,9,September,2010,City
Waterford,2,September,2010,City
Cork,24,October,2010,City
Dublin,68,October,2010,City
Galway,2,October,2010,City
Limerick,2,October,2010,City
Waterford,40,October,2010,City
Cork,25,November,2010,City
Dublin,151,November,2010,City
Galway,11,November,2010,City
Limerick,2,November,2010,City
Waterford,33,November,2010,City
Cork,39,December,2010,City
Dublin,55,December,2010,City
Galway,11,December,2010,City
Limerick,2,December,2010,City
Waterford,6,December,2010,City
Cork,2.0,January,2011,City
Dublin,82.0,January,2011,City
Galway,11.0,January,2011,City
Limerick,0.0,January,2011,City
Waterford,41.0,January,2011,City
Cork,15.0,February,2011,City
Dublin,32.0,February,2011,City
Galway,12.0,February,2011,City
Limerick,2.0,February,2011,City
Waterford,5.0,February,2011,City
Cork,12,March,2011,City
Dublin,60,March,2011,City
Galway,6,March,2011,City
Limerick,4,March,2011,City
Waterford,10,March,2011,City
Cork,14.0,April,2011,City
Dublin,47.0,April,2011,City
Galway,10.0,April,2011,City
Limerick,3.0,April,2011,City
Waterford,2.0,April,2011,City
Cork,10.0,May,2011,City
Dublin,75.0,May,2011,City
Galway,5.0,May,2011,City
Limerick,1.0,May,2011,City
Waterford,6.0,May,2011,City
Cork,5.0,June,2011,City
Dublin,46.0,June,2011,City
Galway,6.0,June,2011,City
Limerick,0.0,June,2011,City
Waterford,2.0,June,2011,City
Cork,24.0,July,2011,City
Dublin,25.0,July,2011,City
Galway,1.0,July,2011,City
Limerick,11.0,July,2011,City
Waterford,3.0,July,2011,City
Cork,12.0,August,2011,City
Dublin,21.0,August,2011,City
Galway,0.0,August,2011,City
Limerick,10.0,August,2011,City
Waterford,3.0,August,2011,City
Cork,5,September,2011,City
Dublin,23,September,2011,City
Galway,8,September,2011,City
Limerick,5,September,2011,City
Waterford,5,September,2011,City
Cork,14.0,October,2011,City
Dublin,46.0,October,2011,City
Galway,1.0,October,2011,City
Limerick,1.0,October,2011,City
Waterford,4.0,October,2011,City
Cork,9.0,November,2011,City
Dublin,48.0,November,2011,City
Galway,6.0,November,2011,City
Limerick,3.0,November,2011,City
Waterford,1.0,November,2011,City
Cork,5.0,December,2011,City
Dublin,52.0,December,2011,City
Galway,6.0,December,2011,City
Limerick,3.0,December,2011,City
Waterford,2.0,December,2011,City
Cork,5.0,January,2012,City
Dublin,53.0,January,2012,City
Galway,1.0,January,2012,City
Limerick,1.0,January,2012,City
Waterford,6.0,January,2012,City
Cork,13.0,February,2012,City
Dublin,15.0,February,2012,City
Galway,0.0,February,2012,City
Limerick,0.0,February,2012,City
Waterford,2.0,February,2012,City
Cork,11.0,March,2012,City
Dublin,47.0,March,2012,City
Galway,2.0,March,2012,City
Limerick,1.0,March,2012,City
Waterford,7.0,March,2012,City
Cork,14.0,April,2012,City
Dublin,24.0,April,2012,City
Galway,3.0,April,2012,City
Limerick,3.0,April,2012,City
Waterford,4.0,April,2012,City
Cork,43.0,May,2012,City
Dublin,48.0,May,2012,City
Galway,2.0,May,2012,City
Limerick,13.0,May,2012,City
Waterford,3.0,May,2012,City
Cork,19.0,June,2012,City
Dublin,16.0,June,2012,City
Galway,3.0,June,2012,City
Limerick,1.0,June,2012,City
Waterford,3.0,June,2012,City
Cork,31.0,July,2012,City
Dublin,31.0,July,2012,City
Galway,7.0,July,2012,City
Limerick,2.0,July,2012,City
Waterford,1.0,July,2012,City
Cork,49.0,August,2012,City
Dublin,80.0,August,2012,City
Galway,4.0,August,2012,City
Limerick,13.0,August,2012,City
Waterford,8.0,August,2012,City
Cork,24.0,September,2012,City
Dublin,38.0,September,2012,City
Galway,1.0,September,2012,City
Limerick,6.0,September,2012,City
Waterford,3.0,September,2012,City
Cork,11.0,October,2012,City
Dublin,31.0,October,2012,City
Galway,3.0,October,2012,City
Limerick,34.0,October,2012,City
Waterford,6.0,October,2012,City
Cork,18.0,November,2012,City
Dublin,71.0,November,2012,City
Galway,2.0,November,2012,City
Limerick,9.0,November,2012,City
Waterford,4.0,November,2012,City
Cork,10.0,December,2012,City
Dublin,53.0,December,2012,City
Galway,4.0,December,2012,City
Limerick,16.0,December,2012,City
Waterford,8.0,December,2012,City
Cork,3.0,January,2013,City
Dublin,34.0,January,2013,City
Galway,6.0,January,2013,City
Limerick,10.0,January,2013,City
Waterford,3.0,January,2013,City
Cork,19.0,February,2013,City
Dublin,47.0,February,2013,City
Galway,3.0,February,2013,City
Limerick,3.0,February,2013,City
Waterford,1.0,February,2013,City
Cork,15.0,March,2013,City
Dublin,26.0,March,2013,City
Galway,3.0,March,2013,City
Limerick,5.0,March,2013,City
Waterford,5.0,March,2013,City
Cork,36.0,April,2013,City
Dublin,40.0,April,2013,City
Galway,5.0,April,2013,City
Limerick,2.0,April,2013,City
Waterford,7.0,April,2013,City
Cork,10.0,May,2013,City
Dublin,19.0,May,2013,City
Galway,27.0,May,2013,City
Limerick,5.0,May,2013,City
Waterford,3.0,May,2013,City
Cork,49.0,June,2013,City
Dublin,106.0,June,2013,City
Galway,3.0,June,2013,City
Limerick,2.0,June,2013,City
Waterford,4.0,June,2013,City
Cork,14.0,July,2013,City
Dublin,50.0,July,2013,City
Galway,7.0,July,2013,City
Limerick,0.0,July,2013,City
Waterford,2.0,July,2013,City
Cork,7.0,August,2013,City
Dublin,34.0,August,2013,City
Galway,3.0,August,2013,City
Limerick,3.0,August,2013,City
Waterford,9.0,August,2013,City
Cork,4.0,September,2013,City
Dublin,28.0,September,2013,City
Galway,2.0,September,2013,City
Limerick,2.0,September,2013,City
Waterford,7.0,September,2013,City
Cork,43.0,October,2013,City
Dublin,38.0,October,2013,City
Galway,1.0,October,2013,City
Limerick,3.0,October,2013,City
Waterford,16.0,October,2013,City
Cork,22.0,November,2013,City
Dublin,34.0,November,2013,City
Galway,8.0,November,2013,City
Limerick,32.0,November,2013,City
Waterford,5.0,November,2013,City
Cork,16.0,December,2013,City
Dublin,46.0,December,2013,City
Galway,15.0,December,2013,City
Limerick,39.0,December,2013,City
Waterford,26.0,December,2013,City
