Council,No_Of_Connections,Month,Year,Type
Monaghan,49,April,2007,County
North Tipperary,70,April,2007,County
Offaly,77,April,2007,County
Roscommon,137,April,2007,County
Sligo,153,April,2007,County
South Dublin,277,April,2007,County
South Tipperary,129,April,2007,County
Waterford,57,April,2007,County
Westmeath,120,April,2007,County
Wexford,236,April,2007,County
Carlow,176,May,2007,County
Cavan,260,May,2007,County
Clare,188,May,2007,County
Cork,654,May,2007,County
Donegal,295,May,2007,County
Dun Laoghaire,221,May,2007,County
Fingal,351,May,2007,County
Galway,325,May,2007,County
Kerry,257,May,2007,County
Kildare,277,May,2007,County
Kilkenny,111,May,2007,County
Laois,209,May,2007,County
Leitrim,60,May,2007,County
Limerick,258,May,2007,County
Longford,142,May,2007,County
Louth,93,May,2007,County
Mayo,144,May,2007,County
Meath,226,May,2007,County
Monaghan,95,May,2007,County
North Tipperary,101,May,2007,County
Offaly,86,May,2007,County
Roscommon,128,May,2007,County
Sligo,96,May,2007,County
South Dublin,416,May,2007,County
South Tipperary,65,May,2007,County
Waterford,99,May,2007,County
Westmeath,124,May,2007,County
Wexford,403,May,2007,County
Carlow,97,June,2007,County
Cavan,153,June,2007,County
Clare,159,June,2007,County
Cork,576,June,2007,County
Donegal,400,June,2007,County
Dun Laoghaire,273,June,2007,County
Fingal,446,June,2007,County
Galway,272,June,2007,County
Kerry,209,June,2007,County
Kildare,217,June,2007,County
Kilkenny,77,June,2007,County
Laois,133,June,2007,County
Leitrim,86,June,2007,County
Limerick,179,June,2007,County
Longford,97,June,2007,County
Louth,110,June,2007,County
Mayo,230,June,2007,County
Meath,265,June,2007,County
Monaghan,127,June,2007,County
North Tipperary,85,June,2007,County
Offaly,111,June,2007,County
Roscommon,134,June,2007,County
Sligo,74,June,2007,County
South Dublin,147,June,2007,County
South Tipperary,80,June,2007,County
Waterford,87,June,2007,County
Westmeath,134,June,2007,County
Wexford,296,June,2007,County
Carlow,89,July,2007,County
Cavan,86,July,2007,County
Clare,163,July,2007,County
Cork,416,July,2007,County
